gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
5003323702				https://sfg.taxonworks.org/api/v1/images/3f2cdc9bda93a5e3ff77e5ecbf93b07f										
5003323700				https://sfg.taxonworks.org/api/v1/images/3db0c62f976ba029d7f87348dd137e63										
5003323700				https://sfg.taxonworks.org/api/v1/images/ada286d895c8e763a25b15f4a78fc402										
5003323699				https://sfg.taxonworks.org/api/v1/images/edd187c1773de93a7721c47197c92190										
5003323696				https://sfg.taxonworks.org/api/v1/images/f1e5ef200380fa558fd194d31767fd93										
5003323693				https://sfg.taxonworks.org/api/v1/images/151b3672b39896dd99b54ab87b9f809c										
5003323691				https://sfg.taxonworks.org/api/v1/images/97a511bed4226a6839fab768bb6ce314										
5003323687				https://sfg.taxonworks.org/api/v1/images/a86301293d3684d0c2e3c8095a3382e5										
5003323686				https://sfg.taxonworks.org/api/v1/images/0130f903b8c51a33348406b80ad092eb										
5003323682				https://sfg.taxonworks.org/api/v1/images/c9900dd16cb29edda9bcde2f3e8e2abe										
5003323681				https://sfg.taxonworks.org/api/v1/images/ebb874a6a03470a774dadc55ce049399										
5003323680				https://sfg.taxonworks.org/api/v1/images/0c7c0da06a4b33026a323ad0e0fcf81a										
5003323677				https://sfg.taxonworks.org/api/v1/images/1225a2e612a27612707639f56509d6cb										
5003323676				https://sfg.taxonworks.org/api/v1/images/255de360b53642eee7311a602a0bda0b										
5003323674				https://sfg.taxonworks.org/api/v1/images/ab79404c5bb8ccde21ab1de3dcf45855										
5003323673				https://sfg.taxonworks.org/api/v1/images/5bea1c75baa5e2067bf03240b5c8b4f0										
5003323672				https://sfg.taxonworks.org/api/v1/images/8c0b97b859d834d268fa1b0ed9395275										
5003323670				https://sfg.taxonworks.org/api/v1/images/0a821cb8afe3fe4e00b721391ed6d9df										
5003323668				https://sfg.taxonworks.org/api/v1/images/36243c02c119db1f730ab75cdd5ef986										
5003323661				https://sfg.taxonworks.org/api/v1/images/6fa3cfbfb6ac778eb88ad3f4ed8a6db8										
5003323654				https://sfg.taxonworks.org/api/v1/images/6fd05ecdf6f7cedd492ba4d5727fc513										
5003323653				https://sfg.taxonworks.org/api/v1/images/1f94735dcf8d00d7b2c56e7a554c91a3										
5003323650				https://sfg.taxonworks.org/api/v1/images/7656e7b3eda4c498262c2be38ceae633										
5003323649				https://sfg.taxonworks.org/api/v1/images/9754dbe083326bdce70bbc83e88541c2										
5003323649				https://sfg.taxonworks.org/api/v1/images/8df907dd8a6a224f8a6f91072dd1af4b										
